,cst,DecFeb_dP,DecFeb_dP_var,DecFeb_dT,MarMay_dP,MarMay_dP_var,MarMay_dT,JunAug_dP,JunAug_dP_var,JunAug_dT,SepNov_dP,SepNov_dP_var,SepNov_dT
0,0,1,1,0,1.0,1,0,1.0,1,0,1.0,1,0
1,1,1,1,0,1.0,1,0,0.6355041861534119,1,0,0.8617914915084839,1,0
2,2,1,1,0,1.0,1,0,0.6355041861534119,1,0,1.0164223909378052,1,0
3,3,1,1,0,1.0,1,0,0.6355041861534119,1,0,1.1710532903671265,1,0
4,4,1,1,0,1.0,1,0,0.6355041861534119,1,0,1.3256841897964478,1,0
5,5,1,1,0,1.0,1,0,0.8794993162155151,1,0,0.8617914915084839,1,0
6,6,1,1,0,1.0,1,0,0.8794993162155151,1,0,1.0164223909378052,1,0
7,7,1,1,0,1.0,1,0,0.8794993162155151,1,0,1.1710532903671265,1,0
8,8,1,1,0,1.0,1,0,0.8794993162155151,1,0,1.3256841897964478,1,0
9,9,1,1,0,1.0,1,0,1.1234944462776184,1,0,0.8617914915084839,1,0
10,10,1,1,0,1.0,1,0,1.1234944462776184,1,0,1.0164223909378052,1,0
11,11,1,1,0,1.0,1,0,1.1234944462776184,1,0,1.1710532903671265,1,0
12,12,1,1,0,1.0,1,0,1.1234944462776184,1,0,1.3256841897964478,1,0
13,13,1,1,0,1.0,1,0,1.3674895763397217,1,0,0.8617914915084839,1,0
14,14,1,1,0,1.0,1,0,1.3674895763397217,1,0,1.0164223909378052,1,0
15,15,1,1,0,1.0,1,0,1.3674895763397217,1,0,1.1710532903671265,1,0
16,16,1,1,0,1.0,1,0,1.3674895763397217,1,0,1.3256841897964478,1,0
17,17,1,1,0,0.9515470266342163,1,0,0.6355041861534119,1,0,1.0,1,0
18,18,1,1,0,1.1979255676269531,1,0,0.6355041861534119,1,0,1.0,1,0
19,19,1,1,0,1.44430410861969,1,0,0.6355041861534119,1,0,1.0,1,0
20,20,1,1,0,1.6906826496124268,1,0,0.6355041861534119,1,0,1.0,1,0
21,21,1,1,0,0.9515470266342163,1,0,0.8794993162155151,1,0,1.0,1,0
22,22,1,1,0,1.1979255676269531,1,0,0.8794993162155151,1,0,1.0,1,0
23,23,1,1,0,1.44430410861969,1,0,0.8794993162155151,1,0,1.0,1,0
24,24,1,1,0,1.6906826496124268,1,0,0.8794993162155151,1,0,1.0,1,0
25,25,1,1,0,0.9515470266342163,1,0,1.1234944462776184,1,0,1.0,1,0
26,26,1,1,0,1.1979255676269531,1,0,1.1234944462776184,1,0,1.0,1,0
27,27,1,1,0,1.44430410861969,1,0,1.1234944462776184,1,0,1.0,1,0
28,28,1,1,0,1.6906826496124268,1,0,1.1234944462776184,1,0,1.0,1,0
29,29,1,1,0,0.9515470266342163,1,0,1.3674895763397217,1,0,1.0,1,0
30,30,1,1,0,1.1979255676269531,1,0,1.3674895763397217,1,0,1.0,1,0
31,31,1,1,0,1.44430410861969,1,0,1.3674895763397217,1,0,1.0,1,0
32,32,1,1,0,1.6906826496124268,1,0,1.3674895763397217,1,0,1.0,1,0
