,year_dT,year_dP,DecFeb_dT,DecFeb_dP,MarMay_dT,MarMay_dP,JunAug_dT,JunAug_dP,SepNov_dT,SepNov_dP,year_dP_var,DecFeb_dP_var,MarMay_dP_var,JunAug_dP_var,SepNov_dP_var
access_cm2_ssp126_2021,2.121856689453125,5.010867118835449,2.774749755859375,6.604933738708496,1.37939453125,20.21573781967163,2.06939697265625,-3.3402860164642334,2.2640380859375,-0.19513964653015137,2.393814005942052,1.9578546354001691,-8.95909378132277,6.7596788335285485,2.0760439310093526
access_cm2_ssp245_2021,2.03839111328125,6.245827674865723,2.68707275390625,8.79887342453003,1.132080078125,13.928735256195068,2.345367431640625,0.8505344390869141,1.988983154296875,3.414177894592285,4.490087565643708,1.1642491762804408,-1.979557452209324,9.286453162604925,1.5693339144132512
access_cm2_ssp370_2021,2.300628662109375,5.7105183601379395,2.768707275390625,10.102367401123047,1.6455078125,11.494016647338867,2.39154052734375,-2.7943074703216553,2.396728515625,6.401491165161133,5.498316430670758,0.9958179013926483,-1.3354341535211756,9.15002504889193,0.8109277862470066
access_cm2_ssp585_2021,2.306793212890625,6.704568862915039,2.710205078125,9.387171268463135,1.61749267578125,15.196120738983154,2.48626708984375,1.8120884895324707,2.413177490234375,2.4997591972351074,5.87581472870935,-2.1318162464828427,2.9963821473537378,5.386190437220328,2.835622275455796
access_cm2_ssp126_2041,3.35015869140625,11.032330989837646,4.09033203125,23.457109928131104,2.3865966796875,18.170714378356934,3.479766845703125,-4.357928037643433,3.44403076171875,11.282145977020264,12.67958689211599,0.5791124928991698,-1.4845182581958438,20.110841790221446,-0.3884081581687626
access_cm2_ssp245_2041,3.693511962890625,10.523176193237305,4.74859619140625,18.03433895111084,2.84765625,24.73849058151245,3.6341552734375,-10.82257628440857,3.543426513671875,15.559160709381104,1.273994324998795,-4.326765991876269,1.0862605607591336,4.978374399000529,-0.4799298665909113
access_cm2_ssp370_2041,3.452056884765625,8.124494552612305,3.87933349609375,16.429364681243896,2.67022705078125,17.36767292022705,3.64208984375,-3.2033324241638184,3.616668701171875,5.585885047912598,1.5800435627743914,-2.8553600251529754,-1.6311573343139596,7.385308486903663,-4.139767688928863
access_cm2_ssp585_2041,3.927001953125,8.93477201461792,4.410888671875,11.33815050125122,3.283416748046875,28.92824411392212,4.2325439453125,-8.01093578338623,3.781219482421875,8.483946323394775,3.8296550325406686,8.284242885658921,-0.928840493476002,8.098279616597548,-2.8536249445507034
access_cm2_ssp126_2081,3.554107666015625,10.007858276367188,4.0081787109375,17.553222179412842,3.0064697265625,17.402076721191406,3.715667724609375,3.787672519683838,3.486175537109375,4.022455215454102,2.6704769703183473,-2.898832781548666,2.9160849821695534,2.466044912508414,6.576440694423602
access_cm2_ssp245_2081,4.376312255859375,7.2937726974487305,4.100555419921875,18.573319911956787,3.594696044921875,19.403982162475586,5.36663818359375,-6.738400459289551,4.443328857421875,2.718663215637207,1.2524365939845516,0.01902540870855063,-2.843122497377948,5.740099538067911,1.6066956008047528
access_cm2_ssp370_2081,6.556304931640625,8.714151382446289,6.98223876953125,26.85185670852661,5.431488037109375,20.685672760009766,7.282470703125,-17.560583353042603,6.529144287109375,11.990022659301758,4.326547766181288,1.9156472657565704,5.056477916756741,10.164566364279114,1.7110899927223144
access_cm2_ssp585_2081,7.924072265625,9.077370166778564,8.24603271484375,33.83526802062988,6.522125244140625,31.032657623291016,9.163116455078125,-26.091855764389038,7.76507568359375,7.916116714477539,1.0659607235756763,3.199122835939794,-3.5248586007333826,4.878792639951612,0.9939720989297518
access_esm1_5_ssp126_2021,,,,,,,,,,,,,,,
access_esm1_5_ssp245_2021,,,,,,,,,,,,,,,
access_esm1_5_ssp370_2021,,,,,,,,,,,,,,,
access_esm1_5_ssp585_2021,,,,,,,,,,,,,,,
access_esm1_5_ssp126_2041,,,,,,,,,,,,,,,
access_esm1_5_ssp245_2041,,,,,,,,,,,,,,,
access_esm1_5_ssp370_2041,,,,,,,,,,,,,,,
access_esm1_5_ssp585_2041,,,,,,,,,,,,,,,
access_esm1_5_ssp126_2081,,,,,,,,,,,,,,,
access_esm1_5_ssp245_2081,,,,,,,,,,,,,,,
access_esm1_5_ssp370_2081,,,,,,,,,,,,,,,
access_esm1_5_ssp585_2081,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp126_2021,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp245_2021,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp370_2021,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp585_2021,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp126_2041,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp245_2041,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp370_2041,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp585_2041,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp126_2081,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp245_2081,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp370_2081,,,,,,,,,,,,,,,
awi_cm_1_1_mr_ssp585_2081,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp126_2021,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp245_2021,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp370_2021,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp585_2021,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp126_2041,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp245_2041,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp370_2041,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp585_2041,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp126_2081,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp245_2081,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp370_2081,,,,,,,,,,,,,,,
awi_esm_1_1_lr_ssp585_2081,,,,,,,,,,,,,,,
bcc_csm2_mr_ssp126_2021,1.903167724609375,6.852459907531738,2.722686767578125,13.528704643249512,1.464630126953125,11.773061752319336,1.70452880859375,3.4174203872680664,1.720947265625,0.01609325408935547,-1.8444776010134722,-1.337278060916236,-3.8616121433457384,-1.0603905774947298,5.469866807267154
bcc_csm2_mr_ssp245_2021,2.086273193359375,4.796087741851807,2.372528076171875,7.271933555603027,2.22271728515625,9.862864017486572,1.879852294921875,0.8928060531616211,1.86993408203125,2.0521163940429688,2.910267951408785,4.80032801181518,5.877374289055171,-1.6302763197952874,1.72754169509155
bcc_csm2_mr_ssp370_2021,1.969482421875,4.968404769897461,2.415252685546875,8.995616436004639,1.981231689453125,17.223119735717773,1.79278564453125,-4.304230213165283,1.68853759765625,-0.04894137382507324,-0.2681099442102819,2.72828670951617,-4.081909956577312,2.0957263371955914,-1.0482839275158806
bcc_csm2_mr_ssp585_2021,2.2593994140625,8.41221809387207,3.158477783203125,13.112103939056396,2.534332275390625,14.31872844696045,1.608917236328125,2.7107954025268555,1.736053466796875,4.60430383682251,2.516934101273427,0.7850230580928041,-0.7823080825443252,1.3545249572213036,0.40154525966435983
bcc_csm2_mr_ssp126_2041,1.74041748046875,8.404910564422607,2.649169921875,12.272274494171143,1.193023681640625,19.72438097000122,1.66253662109375,4.2136549949646,1.456878662109375,-0.26525259017944336,-4.504300996525979,1.6304832087651322,5.445325882627405,-4.104521103683645,5.5526600557480155
bcc_csm2_mr_ssp245_2041,2.75384521484375,4.79809045791626,3.50634765625,17.399585247039795,2.4549560546875,9.767043590545654,2.408843994140625,-11.19658350944519,2.645294189453125,3.784501552581787,-2.8921726670541714,-2.5977773740958776,2.215070000926911,0.009115271989479368,7.206782148654689
bcc_csm2_mr_ssp370_2041,2.955780029296875,9.656727313995361,3.773406982421875,14.94288444519043,2.282623291015625,17.631924152374268,2.541412353515625,-3.4762144088745117,3.22589111328125,10.320711135864258,-2.8765947560722815,5.5893623734006415,-0.015752144109981714,3.0566030626702823,-1.162003781733234
